# This file lists all the betrayals as [Season Year Betrayer Victim]
Fall 1901 Austria-Italy # Austria insists he is going North, attacks instead
Fall 1902 Russia-Austria # Russia promised to support, but did not
Fall 1903 Austria-Russia # Austria attacks Russia after asking for support
Fall 1903 France-Austria # France/Austria agreed to split Italy, France attacks instead
Spring 1904 Turkey-Italy # Turkey communicates that he is not going for Tunis - does it anyway
Spring 1905 France-Italy # France intentionally fails to support retaking Tunis, after many turns of working together
Fall 1905 France-England # France tries to take two SCs from England, but England sees it coming - nonetheless, this is a breakdown of a game-long alliance, without warning

